date,foodName,energy,water,protein,fat,tansuhwamul,sugar



2023-03-08,피자,233.00,47.70,11.30,7.30,30.40,0
2023-03-08,피자,233.00,47.70,11.30,7.30,30.40,0
2023-03-08,피자,233.00,47.70,11.30,7.30,30.40,0
2023-03-09,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-09,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-09,닭가슴살,127.00,70.40,28.09,0.93,0,0
2023-03-09,떡볶이,151.00,62.90,3.80,1.70,30.20,0
2023-03-09,샐러드,153.00,73.42,0.95,9.91,14.89,12.19
2023-03-09,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-09,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-09,피자,233.00,47.70,11.30,7.30,30.40,0
2023-03-22,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-22,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-22,닭가슴살,127.00,70.40,28.09,0.93,0,0
2023-03-22,떡볶이,151.00,62.90,3.80,1.70,30.20,0
2023-03-22,샐러드,153.00,73.42,0.95,9.91,14.89,12.19
2023-03-22,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-22,김밥,158.00,63.00,3.60,3.20,28.80,0
2023-03-22,피자,233.00,47.70,11.30,7.30,30.40,0
2023-03-22,피자,233.00,47.70,11.30,7.30,30.40,0
