Binary(원본),클래스,임산부,당뇨,고혈압,피부미용,웨이트
00001,1,0,0,0,0,1
00010,2,0,0,0,1,0
00011,3,0,0,0,1,1
00100,4,0,0,1,0,0
00101,5,0,0,1,0,1
00110,6,0,0,1,1,0
00111,7,0,0,1,1,1
01000,8,0,1,0,0,0
01001,9,0,1,0,0,1
01010,10,0,1,0,1,0
01011,11,0,1,0,1,1
01100,12,0,1,1,0,0
01101,13,0,1,1,0,1
01110,14,0,1,1,1,0
01111,15,0,1,1,1,1
10000,16,1,0,0,0,0
10001,17,1,0,0,0,1
10010,18,1,0,0,1,0
10011,19,1,0,0,1,1
10100,20,1,0,1,0,0
10101,21,1,0,1,0,1
10110,22,1,0,1,1,0
10111,23,1,0,1,1,1
11000,24,1,1,0,0,0
11001,25,1,1,0,0,1
11010,26,1,1,0,1,0
11011,27,1,1,0,1,1
11100,28,1,1,1,0,0
11101,29,1,1,1,0,1
11110,30,1,1,1,1,0
11111,31,1,1,1,1,1
